id;laptop_ID;Company;Product;TypeName;Inches;ScreenResolution;Cpu;Ram;Memory;Gpu;OpSys;Weight;Price_euros
697;705;Asus;Chromebook Flip;2 in 1 Convertible;12.5;Full HD / Touchscreen 1920x1080;Intel Core M M3-6Y30 0.9GHz;4GB;64GB Flash Storage;Intel HD Graphics 515;Chrome OS;1.2kg;669.0
435;442;Asus;Rog Strix;Gaming;17.3;Full HD 1920x1080;AMD Ryzen 1600 3.2GHz;8GB;256GB SSD +  1TB HDD;AMD Radeon RX 580;Windows 10;3.2kg;1695.0
735;743;Lenovo;V310-15IKB (i7-7500U/4GB/1TB/FHD/W10);Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;4GB;1TB HDD;Intel HD Graphics 620;Windows 10;1.85kg;779.0
864;875;Dell;XPS 13;Ultrabook;13.3;Quad HD+ / Touchscreen 3200x1800;Intel Core i7 7660U 2.5GHz;16GB;512GB SSD;Intel Iris Plus Graphics 640;Windows 10;1.29kg;2240.0
1176;1194;Lenovo;B51-80 (i7-6500U/4GB/1008GB/FHD/W7);Notebook;15.6;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;4GB;1.0TB Hybrid;Intel HD Graphics 520;Windows 7;2.32kg;825.0
533;540;Mediacom;SmartBook Edge;Notebook;13.3;IPS Panel Full HD 1920x1080;Intel Celeron Quad Core N3450 1.1GHz;4GB;32GB SSD;Intel HD Graphics 500;Windows 10;1.2kg;369.0
568;575;Lenovo;IdeaPad 320-15IAP;Notebook;15.6;Full HD 1920x1080;Intel Pentium Quad Core N4200 1.1GHz;4GB;500GB HDD;Intel HD Graphics 505;Windows 10;2.2kg;344.0
41;42;Dell;Inspiron 7577;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.65kg;1499.0
411;418;Lenovo;Thinkpad T470p;Ultrabook;14.0;IPS Panel Full HD 2560x1440;Intel Core i7 7700HQ 2.8GHz;8GB;512GB SSD;Nvidia GeForce GT 940MX;Windows 10;1.7kg;1943.0
424;431;Dell;Alienware 17;Gaming;17.3;IPS Panel 2560x1440;Intel Core i7 7820HK 2.9GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.42kg;2799.0
660;668;Dell;Latitude E7470;Notebook;14.0;Full HD 1920x1080;Intel Core i5 6300U 2.4GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.56kg;1229.0
631;639;Dell;Inspiron 7567;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.62kg;1479.0
479;486;Toshiba;Portege X30-D-10J;Notebook;13.3;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.05kg;1672.0
732;740;HP;15-BW091ND (A9-9420/6GB/1TB;Notebook;15.6;Full HD 1920x1080;AMD A9-Series A9-9420 3GHz;6GB;128GB SSD +  1TB HDD;AMD Radeon 520;Windows 10;2.1kg;650.0
686;694;HP;250 G6;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;AMD Radeon 520;Windows 10;1.86kg;612.61
342;348;HP;ProBook 450;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;8GB;1TB HDD;Nvidia GeForce 930MX ;Windows 10;2.1kg;716.0
980;994;Dell;Inspiron 7579;2 in 1 Convertible;15.6;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;12GB;512GB SSD;Intel HD Graphics 620;Windows 10;2.19kg;1299.0
199;203;HP;Probook 470;Notebook;17.3;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Nvidia GeForce 930MX ;Windows 10;2.5kg;1045.0
689;697;Lenovo;V110-15ISK (3855U/4GB/500GB/W10);Notebook;15.6;1366x768;Intel Celeron Dual Core 3855U 1.6GHz;4GB;500GB HDD;Intel HD Graphics 510;Windows 10;2.1kg;318.0
